63.0371959,50.247314453125,0,0,0,0
77.7672399,48.6436767578125,-1.6036376953125,2.08029743976428,-1.42947250384715,0.0812077708076591
92.4621168,47.1484375,-3.098876953125,5.58984546747989,-0.996688019812585,0.218208646944628
107.1076539,45.7394104003906,-4.50790405273438,1.73915715933948,-1.56916699658309,0.0678908089268919
121.7542604,44.4238586425781,-5.82345581054688,-1.01739417559416,-1.97943548538789,-0.039715625012767
136.4013936,43.1780395507812,-7.06927490234375,0.808237632180634,-1.42859812062473,0.0315508614958864
151.0486444,42.0092163085938,-8.23809814453125,-2.55742633637754,-3.18201929303476,-0.0998332679799629
165.6917171,40.9087219238281,-9.33859252929688,-3.63619441109306,-3.5135435519041,-0.14194472228048
180.3448422,39.8749389648438,-10.3723754882812,-5.19504906684714,-5.40620669265967,-0.202797131742309
194.988784,38.9248657226562,-11.3224487304688,-3.88921403711368,-5.99998021023009,-0.151821752077744
209.636285,38.026611328125,-12.220703125,-6.89076537551032,-5.30411793047486,-0.268992156894257
224.2714691,37.1696166992188,-13.0776977539062,-8.58840761403419,-7.10439476898759,-0.335262363829217
238.9344949,36.362548828125,-13.884765625,-7.75445649037273,-8.43108776450254,-0.302707734659091
253.5882945,35.6048278808594,-14.6424865722656,-10.8484790346896,-9.81189074500948,-0.423487902364861
268.2471092,34.8836975097656,-15.3636169433594,-9.0845907830082,-10.3079920876749,-0.354631675300958
282.93639,34.2066650390625,-16.0406494140625,-11.4040449530923,-12.7901906733331,-0.44517531537985
297.6439588,33.556396484375,-16.69091796875,-12.5079503805363,-11.8203826307236,-0.488268046847791
312.3230002,32.9550170898438,-17.2922973632812,-15.0094103570571,-14.0167661934978,-0.585916577569845
